n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,zone,probe,vergleich
17,17,0.13333265483379364,4.04197808355093e-05,0.12053650750937356,1.1058245987639272,0.21498925053747311,0.33754264080708146,ok,ProlifChon,Pcw6.1_Distal_UpperLimb,osteogen_vs_adipogen
12,10,1.806411862373352,0.0003946644948213361,0.15245428770447975,11.846286680892494,9.99950002499875e-05,0.42726667006736463,ok,ProlifChon,Pcw6.1_Proximal_LowerLimb,chondrogen_vs_naiv
17,17,0.17309346795082092,0.0003534761877031997,0.11992281923115432,1.4404263748182649,0.1375931203439828,0.33613737003493527,ok,ProlifChon,Pcw6.1_Proximal_LowerLimb,osteogen_vs_adipogen
12,10,1.7381646633148193,0.0002968123430851847,0.1568509476435641,11.079740843650825,9.99950002499875e-05,0.4394794657450647,ok,ProlifChon,Pcw6.1_s2_Middle_UpperLimb,chondrogen_vs_naiv
17,17,0.14752478897571564,0.0002942680899053812,0.12356668365740385,1.1915066143072661,0.19689015549222538,0.34628098233063614,ok,ProlifChon,Pcw6.1_s2_Middle_UpperLimb,osteogen_vs_adipogen
12,10,1.638245940208435,0.0002309116743505001,0.1550927638804598,10.561518071833516,9.99950002499875e-05,0.434490650539638,ok,ProlifChon,Pcw6.1_Distal_LowerLimb,chondrogen_vs_naiv
17,17,0.09249265491962433,0.0003216905888170004,0.12164515610147168,0.7577035311946321,0.3577821108944553,0.3409281276729377,ok,ProlifChon,Pcw6.1_Distal_LowerLimb,osteogen_vs_adipogen
12,10,1.7014293670654297,0.0003534885294502601,0.15689669070491927,10.84201247899644,9.99950002499875e-05,0.4396642225032242,ok,ProlifChon,Pcw5.6_Middle_UpperLimb,chondrogen_vs_naiv
17,17,0.16111022233963013,0.000331265333108604,0.12361179872679366,1.3006764618147382,0.17089145542722864,0.34644430176813085,ok,ProlifChon,Pcw5.6_Middle_UpperLimb,osteogen_vs_adipogen
12,10,2.0048344135284424,8.376808064058423e-05,0.15997392611689618,12.53173372755064,9.99950002499875e-05,0.44801076120794986,ok,ProlifChon,Pcw5.6_Proximal_UpperLimb,chondrogen_vs_naiv
17,17,0.15336191654205322,0.0005910011096857488,0.12565789927588145,1.2157684977444951,0.19459027048647567,0.35243311908215375,ok,ProlifChon,Pcw5.6_Proximal_UpperLimb,osteogen_vs_adipogen
12,10,1.8358113765716553,-7.247323170304298e-07,0.1602596456152214,11.455236246507758,9.99950002499875e-05,0.44872628299030287,ok,ProlifChon,Pcw5.6_Distal_LowerLimb,chondrogen_vs_naiv
17,17,0.26426759362220764,0.0003710311703849584,0.12614459454031768,2.092016415078947,0.049897505124743766,0.3535758958832744,ok,ProlifChon,Pcw5.6_Distal_LowerLimb,osteogen_vs_adipogen
12,10,1.852125883102417,0.00030602715201675894,0.15942128675331332,11.615888277303176,9.99950002499875e-05,0.446685630061294,ok,ProlifChon,Pcw5.6_Middle_LowerLimb,chondrogen_vs_naiv
17,17,0.2528757154941559,0.00038158269058912993,0.12499145160374048,2.020091210749733,0.0575971201439928,0.35035764718106244,ok,ProlifChon,Pcw5.6_Middle_LowerLimb,osteogen_vs_adipogen
12,10,2.3904192447662354,0.00015332304660696535,0.16436395660267522,14.542518756090374,9.99950002499875e-05,0.4603724015340976,ok,PrehyperChon,Pcw8.4_s1_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.26954254508018494,0.0006036517686676234,0.12945027722099153,2.0775459047677223,0.05409729513524324,0.36306442798744387,ok,PrehyperChon,Pcw8.4_s1_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,2.3263704776763916,0.0001088065841468051,0.1627958430754751,14.289441469422211,9.99950002499875e-05,0.45593716719547706,ok,PrehyperChon,Pcw8.4_s2_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.2559017539024353,0.00031941391066648065,0.12836580007809698,1.991046990991947,0.06569671516424179,0.359743654129338,ok,PrehyperChon,Pcw8.4_s2_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,2.000305652618408,0.0004444578752387315,0.15342994907331714,13.034360024375212,9.99950002499875e-05,0.43004831528052667,ok,PrehyperChon,Pcw7.2_s1_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.19793641567230225,0.0003493614637525752,0.12028767838911517,1.6426208972907512,0.11299435028248588,0.337154860953275,ok,PrehyperChon,Pcw7.2_s1_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,1.921096682548523,7.871973291039466e-05,0.15166014815556594,12.666596902207438,9.99950002499875e-05,0.42472713456849503,ok,PrehyperChon,Pcw7.2_s2_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.2210749387741089,0.00023899689584504813,0.11929760655265184,1.8511347231496902,0.08439578021098945,0.3342722952432702,ok,PrehyperChon,Pcw7.2_s2_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,2.7774949073791504,-1.2219176394864918e-05,0.17130866116118432,16.213465844217815,9.99950002499875e-05,0.4796520320749212,ok,PrehyperChon,Pcw9.0_s1_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.2136261910200119,0.0006030400016345084,0.13504781522850912,1.5773905757596247,0.11659417029148543,0.37873692264146,ok,PrehyperChon,Pcw9.0_s1_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,2.5863449573516846,7.110016990918666e-05,0.1643461381189059,15.736748589191572,9.99950002499875e-05,0.46024028690284563,ok,PrehyperChon,Pcw9.0_s2_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.33517903089523315,0.00031086454223841427,0.1298325908077291,2.579230409480973,0.022298885055747213,0.36384211880387984,ok,PrehyperChon,Pcw9.0_s2_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,1.8649412393569946,1.995745012536645e-05,0.16262071997659655,11.467919230558431,9.99950002499875e-05,0.45535797338459566,ok,PrehyperChon,Pcw6.1_s1_Middle_UpperLimb,chondrogen_vs_naiv
17,17,0.2095717191696167,0.00024039570456370712,0.12771277687585125,1.6390789440632285,0.10669466526673667,0.3578361709569472,ok,PrehyperChon,Pcw6.1_s1_Middle_UpperLimb,osteogen_vs_adipogen
12,10,1.9955952167510986,0.0004312165464274585,0.16456313160230054,12.124003601404358,9.99950002499875e-05,0.461207985032869,ok,PrehyperChon,Pcw6.1_s2_Middle_UpperLimb,chondrogen_vs_naiv
17,17,0.1853862702846527,4.2008770676329735e-05,0.12965034292967995,1.4295701602154947,0.14439278036098194,0.36306296897378015,ok,PrehyperChon,Pcw6.1_s2_Middle_UpperLimb,osteogen_vs_adipogen
12,10,1.671872615814209,0.000861498276272323,0.15549928157255327,10.746101851012552,9.99950002499875e-05,0.43625948667942144,ok,HyperChon,Pcw9.0_s2_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.5633628964424133,0.0003099934123689309,0.1221161227441376,4.610799052388639,0.000599970001499925,0.3422351370959542,ok,HyperChon,Pcw9.0_s2_Thigh_LowerLimb,osteogen_vs_adipogen
