"klasse","ensembl"
"Struktur_ECM","ENSG00000103196"
"Struktur_ECM","ENSG00000139269"
"Struktur_ECM","ENSG00000130812"
"Struktur_ECM","ENSG00000138131"
"Struktur_ECM","ENSG00000115318"
"Struktur_ECM","ENSG00000169783"
"Struktur_ECM","ENSG00000130720"
"Struktur_ECM","ENSG00000122335"
"Struktur_ECM","ENSG00000166634"
"Struktur_ECM","ENSG00000166833"
"Struktur_ECM","ENSG00000166897"
"Struktur_ECM","ENSG00000243902"
"Struktur_ECM","ENSG00000168140"
"Struktur_ECM","ENSG00000274334"
"Struktur_ECM","ENSG00000179796"
"Struktur_ECM","ENSG00000154485"
"Struktur_ECM","ENSG00000139263"
"Struktur_ECM","ENSG00000186998"
"Struktur_ECM","ENSG00000144152"
"Struktur_ECM","ENSG00000172061"
"Struktur_ECM","ENSG00000164318"
"Struktur_ECM","ENSG00000160963"
"Struktur_ECM","ENSG00000054803"
"Struktur_ECM","ENSG00000138316"
"Struktur_ECM","ENSG00000174721"
"Struktur_ECM","ENSG00000140511"
"Struktur_ECM","ENSG00000185924"
"Struktur_ECM","ENSG00000183287"
"Struktur_ECM","ENSG00000091986"
"Struktur_ECM","ENSG00000174482"
"Struktur_ECM","ENSG00000164946"
"Struktur_ECM","ENSG00000176435"
"Struktur_ECM","ENSG00000173868"
"Struktur_ECM","ENSG00000183090"
"Struktur_ECM","ENSG00000164619"
"Struktur_ECM","ENSG00000185585"
"Struktur_ECM","ENSG00000166106"
"Struktur_ECM","ENSG00000145536"
"Struktur_ECM","ENSG00000140470"
"Struktur_ECM","ENSG00000140873"
"Struktur_ECM","ENSG00000145808"
"Struktur_ECM","ENSG00000165623"
"Struktur_ECM","ENSG00000213420"
"Struktur_ECM","ENSG00000187151"
"Struktur_ECM","ENSG00000165899"
"Struktur_ECM","ENSG00000186665"
"Struktur_ECM","ENSG00000179954"
"Struktur_ECM","ENSG00000164620"
"Struktur_ECM","ENSG00000185761"
"Struktur_ECM","ENSG00000213171"
"Struktur_ECM","ENSG00000165816"
"Struktur_ECM","ENSG00000188162"
"Struktur_ECM","ENSG00000150893"
"Struktur_ECM","ENSG00000188107"
"Struktur_ECM","ENSG00000137142"
"Struktur_ECM","ENSG00000162951"
"Struktur_ECM","ENSG00000198739"
"Struktur_ECM","ENSG00000186907"
"Struktur_ECM","ENSG00000188730"
"Struktur_ECM","ENSG00000197915"
"Struktur_ECM","ENSG00000182600"
"Struktur_ECM","ENSG00000225968"
"Struktur_ECM","ENSG00000187689"
"Struktur_ECM","ENSG00000182534"
"Struktur_ECM","ENSG00000254402"
"Struktur_ECM","ENSG00000220008"
"Struktur_ECM","ENSG00000265190"
"Struktur_ECM","ENSG00000288244"
