"ensembl","satz"
"ENSG00000184702","S_ZELLZYKLUS"
"ENSG00000108387","S_ZELLZYKLUS"
"ENSG00000101868","S_ZELLZYKLUS"
"ENSG00000177084","S_ZELLZYKLUS"
"ENSG00000152192","S_ZELLZYKLUS"
"ENSG00000125686","S_ZELLZYKLUS"
"ENSG00000100614","S_ZELLZYKLUS"
"ENSG00000115241","S_ZELLZYKLUS"
"ENSG00000186298","S_ZELLZYKLUS"
"ENSG00000204569","S_ZELLZYKLUS"
"ENSG00000230995","S_ZELLZYKLUS"
"ENSG00000238104","S_ZELLZYKLUS"
"ENSG00000231737","S_ZELLZYKLUS"
"ENSG00000235291","S_ZELLZYKLUS"
"ENSG00000206489","S_ZELLZYKLUS"
"ENSG00000227804","S_ZELLZYKLUS"
"ENSG00000113575","S_ZELLZYKLUS"
"ENSG00000104695","S_ZELLZYKLUS"
"ENSG00000105568","S_ZELLZYKLUS"
"ENSG00000119383","S_ZELLZYKLUS"
"ENSG00000068971","S_ZELLZYKLUS"
"ENSG00000078304","S_ZELLZYKLUS"
"ENSG00000138814","S_ZELLZYKLUS"
"ENSG00000011485","S_ZELLZYKLUS"
"ENSG00000119414","S_ZELLZYKLUS"
"ENSG00000143294","S_ZELLZYKLUS"
"ENSG00000072062","S_ZELLZYKLUS"
"ENSG00000288516","S_ZELLZYKLUS"
"ENSG00000171033","S_ZELLZYKLUS"
"ENSG00000154229","S_ZELLZYKLUS"
"ENSG00000166501","S_ZELLZYKLUS"
"ENSG00000171132","S_ZELLZYKLUS"
"ENSG00000065243","S_ZELLZYKLUS"
"ENSG00000253729","S_ZELLZYKLUS"
"ENSG00000108984","S_ZELLZYKLUS"
"ENSG00000171867","S_ZELLZYKLUS"
"ENSG00000117707","S_ZELLZYKLUS"
"ENSG00000100600","S_ZELLZYKLUS"
"ENSG00000101843","S_ZELLZYKLUS"
"ENSG00000185627","S_ZELLZYKLUS"
"ENSG00000092010","S_ZELLZYKLUS"
"ENSG00000284916","S_ZELLZYKLUS"
"ENSG00000100911","S_ZELLZYKLUS"
"ENSG00000284889","S_ZELLZYKLUS"
"ENSG00000185920","S_ZELLZYKLUS"
"ENSG00000171862","S_ZELLZYKLUS"
"ENSG00000284792","S_ZELLZYKLUS"
"ENSG00000073756","S_ZELLZYKLUS"
"ENSG00000101213","S_ZELLZYKLUS"
"ENSG00000070159","S_ZELLZYKLUS"
"ENSG00000111679","S_ZELLZYKLUS"
"ENSG00000179295","S_ZELLZYKLUS"
"ENSG00000081237","S_ZELLZYKLUS"
"ENSG00000262418","S_ZELLZYKLUS"
"ENSG00000152894","S_ZELLZYKLUS"
"ENSG00000273993","S_ZELLZYKLUS"
"ENSG00000113456","S_ZELLZYKLUS"
"ENSG00000172613","S_ZELLZYKLUS"
"ENSG00000152942","S_ZELLZYKLUS"
"ENSG00000276618","S_ZELLZYKLUS"
"ENSG00000164754","S_ZELLZYKLUS"
"ENSG00000179262","S_ZELLZYKLUS"
"ENSG00000051180","S_ZELLZYKLUS"
