panel,symbol,ensembl,mode_of_inheritance,confidence_level
PA309,IKBKG,ENSG00000269335,"X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)",3
PA309,IL11RA,ENSG00000137070,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,IL1RN,ENSG00000136689,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,IMPAD1,ENSG00000104331,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,INPPL1,ENSG00000165458,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,KAT6B,ENSG00000156650,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,KDELR2,ENSG00000136240,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,KIAA0753,ENSG00000198920,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,KIF22,ENSG00000079616,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,KIF24,ENSG00000186638,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,KIF5B,ENSG00000170759,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,KIF7,ENSG00000166813,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,KMT2D,ENSG00000167548,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,LBR,ENSG00000143815,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,LEMD3,ENSG00000174106,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,LFNG,ENSG00000106003,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,LIFR,ENSG00000113594,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,LMBR1,ENSG00000105983,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,LMNA,ENSG00000160789,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,LMX1B,ENSG00000136944,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,LONP1,ENSG00000196365,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,LPIN2,ENSG00000101577,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,LRP4,ENSG00000134569,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,LRP5,ENSG00000162337,"BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal",3
PA309,LRRK1,ENSG00000154237,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,LTBP1,ENSG00000049323,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,LTBP3,ENSG00000168056,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,MAFB,ENSG00000204103,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,MAN2B1,ENSG00000104774,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,MAP3K7,ENSG00000135341,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,MASP1,ENSG00000127241,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,MATN3,ENSG00000132031,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,MBTPS1,ENSG00000140943,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,MEGF8,ENSG00000105429,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,MEOX1,ENSG00000005102,"BIALLELIC, autosomal or pseudoautosomal",3
