"klasse","ensembl"
"ECM_STRUKTUR","ENSG00000167749"
"ECM_STRUKTUR","ENSG00000197859"
"ECM_STRUKTUR","ENSG00000107742"
"ECM_STRUKTUR","ENSG00000105993"
"ECM_STRUKTUR","ENSG00000137312"
"ECM_STRUKTUR","ENSG00000223654"
"ECM_STRUKTUR","ENSG00000236271"
"ECM_STRUKTUR","ENSG00000232280"
"ECM_STRUKTUR","ENSG00000230143"
"ECM_STRUKTUR","ENSG00000224740"
"ECM_STRUKTUR","ENSG00000206480"
"ECM_STRUKTUR","ENSG00000206379"
"ECM_STRUKTUR","ENSG00000171819"
"ECM_STRUKTUR","ENSG00000131477"
"ECM_STRUKTUR","ENSG00000116670"
"ECM_STRUKTUR","ENSG00000170275"
"ECM_STRUKTUR","ENSG00000123131"
"ECM_STRUKTUR","ENSG00000130714"
"ECM_STRUKTUR","ENSG00000141696"
"ECM_STRUKTUR","ENSG00000162493"
"ECM_STRUKTUR","ENSG00000167642"
"ECM_STRUKTUR","ENSG00000125966"
"ECM_STRUKTUR","ENSG00000133710"
"ECM_STRUKTUR","ENSG00000160323"
"ECM_STRUKTUR","ENSG00000281244"
"ECM_STRUKTUR","ENSG00000134917"
"ECM_STRUKTUR","ENSG00000154736"
"ECM_STRUKTUR","ENSG00000138738"
"ECM_STRUKTUR","ENSG00000136378"
"ECM_STRUKTUR","ENSG00000049192"
"ECM_STRUKTUR","ENSG00000163539"
"ECM_STRUKTUR","ENSG00000198756"
"ECM_STRUKTUR","ENSG00000019144"
"ECM_STRUKTUR","ENSG00000137573"
"ECM_STRUKTUR","ENSG00000074054"
"ECM_STRUKTUR","ENSG00000185070"
"ECM_STRUKTUR","ENSG00000167754"
"ECM_STRUKTUR","ENSG00000162745"
"ECM_STRUKTUR","ENSG00000198759"
"ECM_STRUKTUR","ENSG00000184056"
"ECM_STRUKTUR","ENSG00000166923"
"ECM_STRUKTUR","ENSG00000276886"
"ECM_STRUKTUR","ENSG00000282046"
"ECM_STRUKTUR","ENSG00000113971"
"ECM_STRUKTUR","ENSG00000007952"
"ECM_STRUKTUR","ENSG00000102760"
"ECM_STRUKTUR","ENSG00000204542"
"ECM_STRUKTUR","ENSG00000231624"
"ECM_STRUKTUR","ENSG00000229432"
"ECM_STRUKTUR","ENSG00000206461"
"ECM_STRUKTUR","ENSG00000224105"
"ECM_STRUKTUR","ENSG00000225543"
"ECM_STRUKTUR","ENSG00000009830"
"ECM_STRUKTUR","ENSG00000197930"
"ECM_STRUKTUR","ENSG00000134049"
"ECM_STRUKTUR","ENSG00000149084"
