"ensembl","expr","expr_rank","arm","klasse","punkt","label","n_undiff","n_diff"
"ENSG00000280079",3.54739314903128,0.181597904387688,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000256206",2.66694804982641,0.14309102815979,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000004846",2.46643061051374,0.133333333333333,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000267318",3.39462635365547,0.174852652259332,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000161653",5.98125156986779,0.286967910936477,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000101197",1.5208602757869,0.0821218074656189,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000174886",2.72055238913928,0.145252128356254,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000242173",1.48563637010849,0.0793713163064833,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000133246",3.11647916110768,0.16188605108055,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000169994",4.12240822306021,0.204649639816634,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000280148",1.12131141459585,0.0573018991486575,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000136250",3.66299659044586,0.186378519973805,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000000938",2.19086039899132,0.119973804846103,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000285991",2.69224858366615,0.144466273739358,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000260314",3.14967359317342,0.164112639161755,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000279491",1.80266092699423,0.0994106090373281,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000114279",3.07695583742144,0.160576293385724,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000189292",2.32528881476106,0.127111984282908,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000279320",3.21287117136643,0.166797642436149,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000136450",1.74594332339951,0.0954158480681074,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000169903",1.94081505367984,0.105828421741978,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000164318",2.4272437030434,0.13117223313687,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000242028",2.04271676252479,0.111198428290766,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000279311",2.56742241048641,0.137655533726261,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000131400",4.06140553379299,0.202226588081205,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000244219",2.73274384762159,0.145841519318926,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000177692",1.68022047229368,0.0911591355599214,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000148408",1.47066142910243,0.0785199738048461,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000183307",2.21467163510314,0.121152586771447,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000105246",0.962233793607452,0.0461689587426326,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000279035",2.76253061772865,0.147151277013752,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000145911",2.6666559109469,0.143025540275049,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000170075",0.8401620046055,0.0356254092992796,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000169242",5.00572626114846,0.245710543549443,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
