"set","ensembl","quelle"
"S_ERAD","ENSG00000168591","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000136986","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000100350","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000116406","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000101251","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000291539","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000167671","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000101294","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000139921","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000164897","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000144468","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000162298","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000135119","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000164953","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000182087","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000099958","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000274437","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000138942","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000168936","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000123594","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000132879","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000269190","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000282954","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000160087","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000269058","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000161243","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000162543","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000173960","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000163527","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000198168","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000178301","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000145428","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000134882","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000188505","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000159461","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000162772","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000128272","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000030110","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000087088","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000110092","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000176720","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000213676","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000234539","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000228628","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000168468","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000116761","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000175197","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000134001","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000178607","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000044574","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000128590","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000158092","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000116044","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000145675","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000055332","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000196396","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000175354","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000165280","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000109501","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000100219","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000071051","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000113739","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000140943","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000124164","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000172071","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000114125","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000134109","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000051108","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000153094","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000103266","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000064687","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000204628","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000107175","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000106541","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000134398","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000135506","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000086598","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000121022","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000198855","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000118217","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000014123","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000087074","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000105550","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000106638","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000105327","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000120742","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000068912","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000197930","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000072849","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000103429","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_STRESS_roh","ENSG00000275618","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
