"satz","ensembl"
"S_DISTAL","ENSG00000072849"
"S_DISTAL","ENSG00000103429"
"S_DISTAL","ENSG00000275618"
"S_DISTAL","ENSG00000012174"
"S_DISTAL","ENSG00000155957"
"S_DISTAL","ENSG00000077232"
"S_DISTAL","ENSG00000198218"
"S_DISTAL","ENSG00000138617"
"S_DISTAL","ENSG00000109133"
"S_DISTAL","ENSG00000180667"
"S_DISTAL","ENSG00000088298"
"S_DISTAL","ENSG00000137817"
"S_DISTAL","ENSG00000005486"
"S_DISTAL","ENSG00000137504"
"S_DISTAL","ENSG00000122557"
"S_DISTAL","ENSG00000198171"
"S_DISTAL","ENSG00000136986"
"S_DISTAL","ENSG00000151883"
"S_DISTAL","ENSG00000122484"
"S_DISTAL","ENSG00000099219"
"S_DISTAL","ENSG00000108465"
"S_DISTAL","ENSG00000158615"
"S_DISTAL","ENSG00000157613"
"S_DISTAL","ENSG00000165192"
"S_DISTAL","ENSG00000136848"
"S_DISTAL","ENSG00000164463"
"S_DISTAL","ENSG00000180535"
"S_DISTAL","ENSG00000151778"
"S_DISTAL","ENSG00000225973"
"S_BIOSYN","ENSG00000160710"
"S_BIOSYN","ENSG00000197381"
"S_BIOSYN","ENSG00000185736"
"S_BIOSYN","ENSG00000142208"
"S_BIOSYN","ENSG00000111701"
"S_BIOSYN","ENSG00000099889"
"S_BIOSYN","ENSG00000138376"
"S_BIOSYN","ENSG00000151746"
"S_BIOSYN","ENSG00000137948"
"S_BIOSYN","ENSG00000185650"
"S_BIOSYN","ENSG00000112578"
"S_BIOSYN","ENSG00000108561"
"S_BIOSYN","ENSG00000248333"
"S_BIOSYN","ENSG00000096401"
"S_BIOSYN","ENSG00000136807"
"S_BIOSYN","ENSG00000147889"
"S_BIOSYN","ENSG00000099622"
"S_BIOSYN","ENSG00000013441"
"S_BIOSYN","ENSG00000176444"
"S_BIOSYN","ENSG00000261893"
"S_BIOSYN","ENSG00000179335"
"S_BIOSYN","ENSG00000074201"
"S_BIOSYN","ENSG00000101138"
"S_BIOSYN","ENSG00000101811"
"S_BIOSYN","ENSG00000176102"
"S_BIOSYN","ENSG00000079785"
"S_BIOSYN","ENSG00000067596"
"S_BIOSYN","ENSG00000135829"
"S_BIOSYN","ENSG00000178105"
"S_BIOSYN","ENSG00000109606"
"S_BIOSYN","ENSG00000130826"
"S_BIOSYN","ENSG00000107614"
"S_BIOSYN","ENSG00000157540"
"S_BIOSYN","ENSG00000162374"
"S_BIOSYN","ENSG00000104884"
"S_BIOSYN","ENSG00000102081"
"S_BIOSYN","ENSG00000155966"
"S_BIOSYN","ENSG00000109536"
"S_BIOSYN","ENSG00000283153"
"S_BIOSYN","ENSG00000283630"
"S_BIOSYN","ENSG00000275145"
"S_BIOSYN","ENSG00000089280"
"S_BIOSYN","ENSG00000132463"
"S_BIOSYN","ENSG00000072506"
"S_BIOSYN","ENSG00000188816"
"S_BIOSYN","ENSG00000138668"
"S_BIOSYN","ENSG00000169813"
"S_BIOSYN","ENSG00000169045"
"S_BIOSYN","ENSG00000284254"
"S_BIOSYN","ENSG00000126945"
"S_BIOSYN","ENSG00000096746"
"S_BIOSYN","ENSG00000153187"
"S_BIOSYN","ENSG00000126457"
"S_BIOSYN","ENSG00000185122"
"S_BIOSYN","ENSG00000284774"
"S_BIOSYN","ENSG00000113141"
"S_BIOSYN","ENSG00000129351"
"S_BIOSYN","ENSG00000172183"
"S_BIOSYN","ENSG00000170365"
"S_BIOSYN","ENSG00000175387"
"S_BIOSYN","ENSG00000166949"
"S_BIOSYN","ENSG00000162385"
"S_BIOSYN","ENSG00000152601"
