symbol,chondrogen,linienkonsistent,basis,linie_8A,linie_2454e,im_modul,ri
GNB1,-0.20023871443480862,True,0.0795136945705737,-0.21037491095983799,-0.19010251790977928,False,
CALML6,-0.3784749055119765,True,0.0572050249415371,-0.4507600876474729,-0.30618972337648004,False,
TMEM52,-0.33049608116694007,True,0.0508066514902921,-0.3283486812394001,-0.33264348109448,False,
CFAP74,-0.030907295115013812,False,0.033821366367231404,-0.14843323545832007,0.08661864522829245,False,
GABRD,-0.12638925801202722,False,0.03441268483788665,-0.3604305993757118,0.10765208335165738,False,
PRKCZ,-0.09226121988946173,False,0.033111550442861404,-0.24363878146663154,0.05911634168770807,False,
FAAP20,-1.190205134003826,True,0.2056906736239545,-1.1002408757569102,-1.2801693922507416,False,
SKI,-0.46298091335790875,True,0.12135678256655441,-0.4873108358909089,-0.4386509908249086,False,
MORN1,-0.25154489839053096,True,0.07552527073988895,-0.4008378114083898,-0.10225198537267212,False,
RER1,-0.251264233938482,True,0.07553984800488306,-0.4004849962256169,-0.10204347165134714,False,
PEX10,-0.10743554373533303,False,0.0645239627895761,-0.24001060952242528,0.025139522051759226,False,
PLCH2,-0.03679194093969152,False,0.0360250322860619,-0.10967000260782729,0.03608612072844425,False,
PANK4,0.07825047455485591,False,0.03563661983020585,-0.02189929654004988,0.1784002456497617,False,
HES5,0.07395157631773229,False,0.03586228390929365,-0.015291634889248205,0.16319478752471278,False,
TNFRSF14,-0.2735956983548403,True,0.036943021464613604,-0.2903470174573236,-0.25684437925235704,False,
PRXL2B,-0.05305324371365243,False,0.033693202531065045,-0.13331098137138794,0.027204493944083082,False,
MMEL1,-0.23307865405553915,True,0.0379469810485385,-0.0658061748934546,-0.4003511332176237,False,
TTC34,-0.036295337969872735,False,0.03398635923264395,-0.261513842049453,0.18892316610970752,False,
ACTRT2,0.0457206453328196,False,0.03291709045412555,-0.009307803990988206,0.10074909465662742,False,
PRDM16,-0.38397531842654653,True,0.05165281958504045,-0.26758491662206196,-0.5003657202310311,False,
ARHGEF16,0.02797235172068193,False,0.0342648869442386,-0.06534370050838509,0.12128840394974895,False,
MEGF6,-0.06809699289698125,False,0.035188976733735805,-0.1561098249716155,0.019915839177652998,False,
TPRG1L,0.030605559941346956,True,0.0451374107920989,0.023327776845897194,0.03788334303679672,False,
WRAP73,0.07807517823535964,True,0.0362303802048298,0.04803329578891369,0.10811706068180561,False,
TP73,0.07660997864652581,True,0.036263668690857204,0.04472256161349233,0.1084973956795593,False,
CCDC27,0.03434222610846582,False,0.04873045557840505,-0.2407404974044966,0.30942494962142825,False,
SMIM1,-0.10817972548662934,False,0.0407534268412391,-0.2473093910638988,0.03094994009064011,False,
LRRC47,-0.11679968494363145,True,0.056886418424707444,-0.22573080391242362,-0.007868565974839294,False,
CEP104,0.033446591998328154,True,0.0431151114665433,0.04016660226385309,0.026726581732803227,False,
DFFB,0.03382398480250802,True,0.043131777227639403,0.04105751622321721,0.02659045338179882,False,
C1orf174,-0.1959490074580849,True,0.06179330348273915,-0.14859305242340176,-0.2433049624927681,False,
AJAP1,0.040845812293521994,False,0.03277843413102005,-0.03855442659007064,0.12024605117711462,False,
NPHP4,-0.20583033679432383,True,0.05859631785890865,-0.10223994786985088,-0.30942072571879675,False,
KCNAB2,-0.19512043203471233,True,0.05836068508891665,-0.08055332457985447,-0.3096875394895702,False,
CHD5,0.01226427483601908,True,0.036058710805418254,0.008504252639789399,0.016024297032248763,False,
ENSG00000285629,-0.01588529494595936,False,0.0630598320534782,-0.050073211277723684,0.018302621385804962,False,
RPL22,-0.09752051109141226,False,0.051586153356630096,-0.3439588123514658,0.1489177901686413,False,
RNF207,-0.08304108635172469,True,0.06320615056431295,-0.10749052483439245,-0.05859164786905695,False,
ICMT,-0.16331974571213204,True,0.04820140585338835,-0.2150932481437444,-0.11154624328051971,False,
HES3,-0.20503259878810598,True,0.0421003433967721,-0.25460124075622276,-0.15546395681998923,False,
GPR153,0.1822442607212941,False,0.039196396744572495,-0.03473937436952502,0.3992278958121132,False,
ACOT7,-0.09719884091172905,True,0.0634826756788806,-0.09822280908441353,-0.09617487273904457,False,
