symbol,osteogen,adipogen,differenz,basis,im_modul,ri,markerklasse
LZIC,-0.0656587732049603,-0.08751576467601775,0.02185699147105745,0.17084014718589,False,,
NMNAT1,-0.06564718146472764,-0.08752580969701744,0.021878628232289796,0.170825615713563,False,,
RBP7,0.29028532334385454,0.321293941684351,-0.031008618340496452,0.101592156614647,False,,
UBE4B,0.0779924665852969,0.07132989869291141,0.006662567892385493,0.143920212658484,False,,
KIF1B,0.002490272574315213,-0.043655131960302705,0.04614540453461792,0.204300972379618,False,,
PGD,0.1727503464384018,0.14506600961248617,0.027684336825915618,0.24624402369774,False,,
CENPS-CORT,0.18826353807910345,0.07419871316369737,0.11406482491540608,0.271459314804519,False,,
CENPS,0.18790916266006988,0.07152797058946504,0.11638119207060484,0.271657628531289,False,,
CORT,0.1283065179782453,0.03730548042672751,0.09100103755151778,0.24537136503903,False,,
DFFA,0.07851539167646143,0.005637053709709572,0.07287833796675186,0.208037685805023,False,,
PEX14,0.07714429447572645,0.0050075467694871145,0.07213674770623933,0.208436721182329,False,,
CASZ1,-0.05651021453436545,0.06468616579435234,-0.1211963803287178,0.0897980088156126,False,,
C1orf127,0.2531622100968635,0.1730039024869239,0.08015830760993961,0.193267020914986,False,,
TARDBP,0.24698358780231702,0.20138905739965332,0.0455945304026637,0.204234638051813,False,,
MASP2,0.21421519792234264,0.13716112727311244,0.0770540706492302,0.176289007090428,False,,
SRM,0.2096510941535175,0.09592802641024685,0.11372306774327064,0.165572316495666,False,,
EXOSC10,0.30059106157352206,0.19918052684811008,0.10141053472541198,0.121843758832353,False,,
MTOR,0.10196267298192312,0.14994405148695394,-0.04798137850503083,0.148242511832799,False,,
ANGPTL7,-0.23965336878829527,-0.1513606828581949,-0.08829268593010037,0.125039629357512,False,,
UBIAD1,0.10646833889807213,0.12099805708337147,-0.014529718185299342,0.155791533982898,False,,
DISP3,-0.08433129192783069,0.07082241446659478,-0.15515370639442547,0.0851665286678745,False,,
FBXO2,-0.10593723873362604,-0.06761367884387753,-0.038323559889748504,0.164458899687457,False,,
FBXO44,-0.09282564962242068,-0.0599244442319695,-0.03290120539045118,0.161947501489874,False,,
MAD2L2,-0.03477468791800321,-0.05421344793410384,0.019438760016100634,0.215342146488616,False,,
FBXO6,-0.17388441874061764,-0.1123374108594594,-0.06154700788115823,0.179447137866646,False,,
DRAXIN,-0.03593539580858265,-0.055504521897654785,0.019569126089072138,0.215379098802402,False,,
AGTRAP,-0.005993916328378424,0.046730893604370306,-0.05272480993274873,0.187966570548233,False,,
C1orf167,0.2621527735471574,0.06244560203293024,0.19970717151422715,0.213097880704507,False,,
MTHFR,0.1306767243351386,0.12363059282126936,0.00704613151386925,0.191451775011741,False,,
CLCN6,0.13087699804358435,0.12480090743024708,0.006076090613337276,0.191434009732794,False,,
NPPA,0.20942258267767286,0.29691757147763737,-0.08749498879996451,0.146943482912504,False,,
NPPB,0.06897919390793925,0.2551693099812156,-0.18619011607327637,0.150116609121676,False,,
KIAA2013,-0.038300191601604666,-0.04994268521087638,0.011642493609271713,0.272869917536235,False,,
PLOD1,0.0622845261037249,-0.011264659473960104,0.073549185577685,0.281868891350425,False,,
MFN2,0.11186611466521261,0.06931916201535969,0.04254695264985292,0.223853157381488,False,,
MIIP,0.3695972139568588,0.21146639007747994,0.15813082387937885,0.178850889699391,False,,
TNFRSF8,0.16221358299494457,0.07511867784157088,0.08709490515337369,0.152957584348458,False,,
