symbol,flach,saeule,osteogen,basis,im_modul,ri,markerklasse
ACTL6B,1.0230958898635782,0.9940773085142206,1.0085865991888994,0.9392962228081978,False,,
ACTN1,-0.007317511446498948,0.041392364210042665,0.01703742638177186,6.3761441199915,False,,
ACTN1-DT,-0.23767945603242957,1.5328889030381445,0.6476047235028575,2.7361271289665523,False,,
ACTN2,1.4849262446080813,1.4412759645379505,1.463101104573016,1.3516277968084622,False,,
ACTN4,-0.01412949618023518,0.2169126324166193,0.10139156811819205,5.51946801826638,False,,
ACTR10,-0.02542078872913045,-0.15823327951149402,-0.09182703412031223,4.7163084225054694,False,,
ACTR1A,0.0334406514206016,-0.25634445952305285,-0.11145190405122563,6.259602541581653,False,,
ACTR1B,0.06287864997239367,0.09435527698811441,0.07861696348025404,5.775680198854874,False,,
ACTR2,-0.2602384698554534,-0.01718265804692365,-0.13871056395118853,4.565276452520602,False,,
ACTR3,-0.0861720249905309,0.08173095959602517,-0.002220532697252864,5.2668323560309895,False,,
ACTR3-AS1,0.11332050354716894,0.6390099872375283,0.37616524539234864,1.455110413498401,False,,
ACTR3B,0.008464546373756932,0.1713619634442045,0.08991325490898072,4.347546560056817,False,,
ACTR3C,0.36363419822511567,0.4131195119253004,0.388376855075208,3.499256377198319,False,,
ACTR5,-0.22450210687331662,0.19060501657311502,-0.016948545150100802,4.30794388062296,False,,
ACTR6,0.2872286128328989,-0.18880320396345152,0.0492127044347237,4.91570341486952,False,,
ACTR8,0.12229941549581902,0.19187800700916302,0.15708871125249102,4.363819057736731,False,,
ACTRT3,0.6690513916411347,0.583022505188211,0.6260369484146728,3.466551384015706,False,,
ACVR1,-0.4195699448545014,0.03235145690512731,-0.19360924397468704,6.441396029088286,False,,
ACVR1B,0.174216309433195,0.48661461088361424,0.3304154601584046,4.166596029240494,False,,
ACVR1C,0.21260139672143996,0.33995861018992235,0.27628000345568116,3.8076280288213664,False,,
ACVR2A,-0.36074948108027005,0.5601267982157205,0.09968865856772524,4.665284071851134,False,,
ACVR2B,1.0114112402115087,0.2652713714160049,0.6383413058137568,3.1076503529393467,False,,
ACVRL1,1.098293092712193,-0.28253692440517697,0.407878084153508,1.3295771893495418,False,,
ACY1,0.3954944803619771,0.5571248709549383,0.4763096756584577,4.843436350524158,False,,
ACYP2,-0.983140026412201,-0.14987511403967435,-0.5665075702259377,5.306953467818803,False,,
ADA,0.4241268962028435,0.48489094228590446,0.454508919244374,1.9947432561165233,False,,
ADA2,-1.005148162974958,-0.8818966698969075,-0.9435224164359327,2.0951600786962925,False,,
ADAM10,0.10957951129925547,0.3320479908483023,0.22081375107377887,5.410713850080068,False,,
ADAM11,-0.1248384756709564,0.08845100410232387,-0.018193735784316267,5.0309453413795815,False,,
ADAM12,0.17473646468351411,-0.2095293795008324,-0.01739645740865914,4.540591910382383,False,,
ADAM15,0.34940906177413034,0.07243714382841304,0.2109231028012717,4.2765593056220075,False,,
ADAM17,-0.04410709904007515,0.13063559777175904,0.043264249365841945,6.034533164128962,False,,
ADAM19,-0.03936368864189577,-0.5379879199826831,-0.28867580431228945,3.976305271692859,False,,
ADAM22,0.011680369565010729,-0.2126780998480826,-0.10049886514153594,4.192605841686555,False,,
ADAM23,-0.8851569168241347,0.3805378448214207,-0.25230953600135697,2.5117206207350455,False,,
ADAM28,-1.7481897010679845,-1.0163333977207625,-1.3822615493943735,3.9365521788090536,False,,
ADAM32,-0.4778811284163105,-0.738980688680543,-0.6084309085484267,4.157335888492626,False,,
ADAM33,0.3962186488924204,-0.03145423847464057,0.18238220520888992,3.721132319816132,False,,
ADAM8,1.5664509067944754,1.1607544041360476,1.3636026554652614,1.4205994422236181,False,,
ADAM9,-0.8658218548156391,-0.7905555537772901,-0.8281887042964646,4.823620614218876,False,,
ADAMTS1,-0.16243140819300628,-0.07946667563945553,-0.1209490419162309,5.340889970472021,False,,
ADAMTS10,0.01482552123401959,-0.241476960012732,-0.1133257193893562,5.632818896919798,True,1.0,
ADAMTS12,-0.7387015391004401,-0.747066944775443,-0.7428842419379416,4.670850174609314,False,,
ADAMTS14,-0.4387417963439435,-0.0936890126272032,-0.26621540448557335,4.182818705184575,False,,
ADAMTS15,0.19106101538952736,0.3548955162410792,0.27297826581530327,3.02701719675731,False,,
ADAMTS17,0.31824077676988605,0.15028116315293616,0.2342609699614111,5.619615914082181,False,,
ADAMTS18,-0.9938457177834383,-0.708917323341093,-0.8513815205622657,5.2651938828215465,False,,
ADAMTS19,0.4436524424261701,0.7022547738363538,0.572953608131262,2.1356569068590967,False,,
ADAMTS2,0.6607188600147431,0.42641483670336466,0.5435668483590539,4.477507433628374,False,,
ADAMTS20,1.462721245795948,0.7684242694799202,1.115572757637934,0.5529994375449387,False,,
ADAMTS3,-0.6546426002272074,-0.6755378384799471,-0.6650902193535773,5.76257503567381,False,,
ADAMTS4,-0.06128919809731048,-0.10543244314624722,-0.08336082062177885,4.523649902130638,False,,
ADAMTS5,-0.054354726666126396,-0.08678350062072315,-0.07056911364342477,4.638262322833253,False,,
ADAMTS6,-0.2351351206725516,-0.8763463348904379,-0.5557407277814947,5.928192405724779,False,,
ADAMTS7,0.43942416429235553,0.2892055368800861,0.3643148505862208,4.729855765556891,False,,
ADAMTS7P1,0.4214087181572974,-0.06641630975204582,0.1774962042026258,1.3255072812667152,False,,
ADAMTS8,-0.6751783273450984,-0.6535752153922871,-0.6643767713686928,5.4412373180750455,False,,
