symbol,delta,n_sonden,donor_konsistent
ALDH1A1,0.07145216666666666,1,0.0
ALDH1A2,0.011746811666666664,2,0.5
ALDH1A3,0.01318744249999999,4,0.0
ALDH1B1,0.0015289350000000004,2,0.0
ALDH1L1,-0.0006221300000000003,2,0.0
ALDH2,0.016071380000000003,2,0.5
ALDH3A1,0.010857099999999995,2,0.0
ALDH3A2,-0.0004926013333333332,2,0.0
ALDH3B1,0.012026231666666666,2,0.0
ALDH3B2,0.02595571666666668,2,0.0
ALDH4A1,0.0024282416666666653,2,0.0
ALDH5A1,0.012145705000000001,2,0.5
ALDH6A1,0.000739616666666666,1,0.0
ALDH7A1,0.009264586666666665,1,1.0
ALDH8A1,0.039022,1,0.0
ALDH9A1,0.020673295,2,0.5
ALDOA,-0.007715276666666673,1,0.0
ALDOB,-0.001061650000000025,2,0.0
ALDOC,0.0021546025,2,0.5
ALG1,0.022147469999999995,2,0.5
ALG12,-0.010177198333333326,2,0.5
ALG14,-0.005278354999999999,2,0.5
ALG3,0.002585224999999997,2,0.0
ALG5,0.003270204999999999,2,0.5
ALG8,7.275833333333362e-05,2,0.0
ALK,0.000443396666666665,1,0.0
ALKBH,-0.009011266666666665,1,0.0
ALKBH3,-0.001803318333333334,2,0.0
ALKBH4,0.004284394333333332,2,0.5
ALKBH6,0.0011609950000000017,2,0.0
ALKBH7,0.022837841666666664,2,0.0
ALKBH8,-0.005386541666666666,2,0.0
ALOX12,0.023335156666666673,2,0.5
ALOX12B,0.009948333333333337,2,0.5
ALOX15,0.007773656666666668,2,1.0
ALOX15B,-0.017237416666666675,2,0.5
ALOX5,0.030116366666666672,1,0.0
ALOX5AP,-0.006171066666666632,1,0.0
ALOXE3,0.005725856666666665,2,0.0
ALPI,0.007196566666666682,1,0.0
ALPK1,0.029500916666666634,2,1.0
ALPK3,0.024782133333333328,1,0.0
ALPL,0.015604692833333333,2,1.0
ALPP,0.021256116666666682,2,0.5
ALPPL2,-0.013400650000000014,2,0.0
ALS2CL,-0.006978789999999999,1,0.0
ALS2CR11,0.004498894999999998,2,0.0
ALS2CR12,-0.004770900000000022,1,0.0
ALS2CR14,-0.0326896333333333,1,0.0
ALS2CR15,0.0005876223333333343,2,0.0
ALS2CR2,0.005760303333333332,2,0.5
ALS2CR7,0.005115711666666665,2,0.0
ALX3,0.03393716666666663,2,1.0
ALX4,0.0037924150000000012,4,0.5
AMAC1,0.003385366666666667,1,0.0
AMAC1L2,0.018668833333333357,1,0.0
AMACR,0.0015110000000000006,2,0.0
AMBN,-0.05868505333333333,1,0.0
AMBP,-0.020643599999999998,2,0.0
AMD1,0.04164658833333333,2,0.5
AMDHD1,0.03610043333333331,2,0.0
AMDHD2,0.023107116666666663,2,0.5
AMELX,-0.030629566666666646,1,0.0
AMFR,-0.00012940000000000057,1,0.0
AMH,0.07258213333333331,1,1.0
AMHR2,0.012319316666666691,2,0.5
AMICA1,-0.0025375999999999923,2,0.5
AMID,-0.001624606666666667,2,0.0
AMIGO2,0.0028805183333333317,2,0.5
AMMECR1,0.070705135,2,0.0
AMN,0.018653303333333333,2,0.5
AMOT,0.03444055833333333,2,0.0
AMOTL2,0.03191734,2,0.5
AMPD1,0.015272750000000002,2,0.0
AMPD2,0.010405568333333332,2,0.0
AMPD3,0.003974933333333347,2,0.0
AMPH,0.004241328333333319,2,0.0
AMT,0.01970558333333335,2,0.0
AMY1A,0.026923100000000005,2,0.0
AMY2A,0.013531016666666673,2,0.0
AMY2B,0.0068157666666667045,2,0.0
AMZ2,-0.00021336783333333393,2,0.0
ANAPC1,0.0009270568333333336,2,0.0
ANAPC11,0.004820139,2,0.0
ANAPC13,-0.00370600666666667,2,0.0
ANAPC2,0.006591959999999998,1,0.0
ANAPC4,0.021872458333333334,2,1.0
ANAPC5,0.0027249783333333348,2,0.5
ANAPC7,0.009148426666666667,1,1.0
ANG,-0.00021804000000000007,2,0.0
ANGEL1,0.0010792833333333333,1,0.0
ANGEL2,-0.0037257049999999993,2,0.5
ANGPT1,-0.033090551666666676,2,0.5
ANGPT2,-0.022765946666666665,1,1.0
ANGPT4,-0.0019345333333333423,2,0.0
ANGPTL1,0.006780330000000001,1,0.0
ANGPTL2,0.004401206666666667,2,0.0
ANGPTL3,-0.006469350000000021,2,0.0
ANGPTL4,0.003951334499999998,2,0.5
ANGPTL5,-0.0049185466666666665,1,0.0
ANGPTL6,0.030530333333333326,2,0.0
