symbol,delta,n_sonden,donorkons
ARVCF,0.01615188695675482,12,0.9166666666666666
ARX,0.02499674499538652,12,0.8333333333333334
AS3MT,0.01999361407277134,9,0.8888888888888888
ASAH1,0.024418170587072623,15,0.8666666666666667
ASAH2,0.042591875226629446,4,0.75
ASAH2B,0.026805032424603664,12,0.6666666666666666
ASAM,0.022365836915320254,10,0.8
ASAP1,0.01010126253903143,5,0.4
ASAP1IT1,0.0369954818094523,3,0.6666666666666666
ASAP2,-0.011247175445023466,7,0.7142857142857143
ASAP3,0.02186097862910688,8,0.75
ASB1,0.013103380741945381,10,1.0
ASB10,0.0417893900681681,13,1.0
ASB11,0.03579126387475757,7,0.8571428571428571
ASB12,0.053834585151098346,3,1.0
ASB13,0.020066667712537508,6,1.0
ASB14,0.00969347966882122,10,0.5
ASB15,0.060080335516035366,4,1.0
ASB16,0.02012849645052956,8,0.875
ASB17,0.06870847117176568,1,1.0
ASB18,0.03221513981511409,7,0.7142857142857143
ASB2,0.020633021507199714,9,0.8888888888888888
ASB3,0.023164413489864435,26,0.7692307692307693
ASB4,0.010595854283363466,8,0.125
ASB5,0.01077916319990882,6,0.3333333333333333
ASB6,0.011674217123164281,4,0.5
ASB7,0.016604492764100445,15,0.7333333333333333
ASB8,0.022973619803888422,14,0.8571428571428571
ASB9,0.0352419627818407,7,0.8571428571428571
ASCC1,0.02121494443578034,12,0.8333333333333334
ASCC2,0.020193271448025067,10,0.7
ASCC3,0.01776542482931789,10,0.7
ASCL1,0.014493207632835074,18,0.6666666666666666
ASCL2,0.01683707619313715,46,0.6956521739130435
ASCL3,0.021595969353606394,5,0.8
ASCL4,0.041646772384128776,13,0.8461538461538461
ASF1B,0.01662039497611067,13,0.6153846153846154
ASFMR1,0.055811727742660605,1,1.0
ASGR1,0.053928459477045554,8,1.0
ASGR2,0.04079703805096814,8,1.0
ASH1L,0.013771502429697983,15,0.5333333333333333
ASH2L,0.011614087032495246,18,0.7222222222222222
ASIP,0.02092638382689871,3,0.3333333333333333
ASL,0.015472541668949921,6,0.8333333333333334
ASNA1,0.024839796378069032,9,1.0
ASNS,0.011802814473989462,13,0.6153846153846154
ASNSD1,0.03037353986237545,12,0.9166666666666666
ASPA,0.06166313854941702,10,1.0
ASPDH,0.056937716897454596,10,1.0
ASPG,0.017696049412990078,7,0.42857142857142855
ASPH,0.016048124473814436,10,0.8
ASPHD1,0.007498597342305824,11,0.8181818181818182
ASPHD2,0.0197666918526862,8,0.875
ASPM,0.023077038440696748,15,0.6
ASPN,0.0224142183689998,3,0.6666666666666666
ASPRV1,0.031617501679745204,11,0.9090909090909091
ASPSCR1,0.01162805172634985,7,1.0
ASRGL1,0.02841179493172716,7,0.7142857142857143
