symbol,delta,n_sonden,donor_konsistent
ALDOB,-0.05388725000000001,2,0.5
ALDOC,0.002297327333333334,2,0.0
ALG1,0.03275447,2,1.0
ALG12,-0.024001508333333327,2,1.0
ALG14,-0.027771872833333332,2,1.0
ALG3,0.009139302666666665,2,0.5
ALG5,0.016720318333333335,2,0.5
ALG8,0.004408231666666667,2,0.0
ALK,-0.01911873,1,1.0
ALKBH,-0.058689166666666716,1,0.0
ALKBH3,0.0034412466666666674,2,0.5
ALKBH4,0.005965615999999999,2,0.5
ALKBH6,0.0040317066666666675,2,1.0
ALKBH7,-0.012089308333333338,2,0.5
ALKBH8,-0.018136146666666665,2,1.0
ALOX12,-0.011220955000000001,2,0.0
ALOX12B,0.005058150000000002,2,0.0
ALOX15,-0.0014853183333333338,2,0.0
ALOX15B,0.003826871666666662,2,0.0
ALOX5,-0.060736033333333335,1,1.0
ALOX5AP,-0.10353203333333334,1,1.0
ALOXE3,-0.01858852,2,1.0
ALPI,-0.03261866666666665,1,1.0
ALPK1,-0.024721400000000004,2,0.5
ALPK3,-0.018532866666666665,1,1.0
ALPL,-0.0020673736666666663,2,1.0
ALPP,-0.03560697833333334,2,0.0
ALPPL2,-0.06340073333333335,2,1.0
ALS2CL,0.005822443333333332,1,1.0
ALS2CR11,-0.009304638333333335,2,0.0
ALS2CR12,-0.04178276666666666,1,1.0
ALS2CR14,-0.0729154333333333,1,1.0
ALS2CR15,-0.010900132166666666,2,0.5
ALS2CR2,-0.0018057850000000033,2,0.5
ALS2CR7,0.0013846983333333307,2,0.0
ALX3,0.024248349999999974,2,0.0
ALX4,-0.004630707500000001,4,0.0
AMAC1,-0.01834316666666665,1,0.0
AMAC1L2,0.00459526666666669,1,0.0
AMACR,-0.0024985866666666673,2,0.0
AMBN,0.04020483666666667,1,0.0
AMBP,-0.06469801666666668,2,0.5
AMD1,-0.05443055499999999,2,1.0
AMDHD1,-0.005596283333333358,2,0.0
AMDHD2,-0.014660809999999998,2,0.5
AMELX,-0.11353269999999997,1,1.0
AMFR,0.0017466133333333342,1,0.0
AMH,-0.035761200000000014,1,0.0
AMHR2,-0.037699466666666646,2,0.5
AMICA1,-0.06917231666666665,2,1.0
AMID,-0.00608342,2,0.0
AMIGO2,-0.010744960000000001,2,0.5
AMMECR1,0.003385618333333326,2,0.0
AMN,0.0036314316666666425,2,0.5
AMOT,0.02053407666666667,2,0.0
AMOTL2,-0.01592671,2,0.5
AMPD1,-0.010985516666666667,2,0.0
AMPD2,-0.022971215,2,0.5
AMPD3,-0.05100616666666665,2,0.5
AMPH,0.010010074999999992,2,0.5
AMT,-0.024928233333333348,2,0.5
AMY1A,-0.03493793333333334,2,0.5
AMY2A,-0.02931108333333334,2,0.0
AMY2B,-0.05121891666666663,2,1.0
AMZ2,-0.00329413,2,0.5
ANAPC1,-0.00027444866666666615,2,0.0
ANAPC11,0.001892050833333333,2,0.5
ANAPC13,-0.015244730000000001,2,0.5
ANAPC2,0.021348013333333332,1,1.0
ANAPC4,-0.024684749999999995,2,0.5
ANAPC5,-0.020726205,2,1.0
ANAPC7,0.003506110000000001,1,0.0
