"symbol","K27_AC_rep1","K27_AC_rep2","K27_hMSC_rep1","K27_hMSC_rep2","K27_OB_rep1","K27_OB_rep2"
"ANO10",2.8287379988861,2.66790392478913,2.05191585030943,2.53991821313744,1.93115434032086,1.88748345727186
"ABHD5",2.81059923360262,2.65944865349832,2.03504851330339,2.51929129234769,1.9199846471421,1.87128046257971
"TOPAZ1",1.18740716226373,1.32832433196705,1.07940358896432,1.28073741654871,0.851421591300749,1.04002946198496
"TCAIM",1.93269043890371,1.84651176619251,1.36327164589052,1.65860280318605,1.57581020976657,1.75281691198926
"ZNF445",2.45704357699122,2.29820179512468,1.73519743572974,1.88308766253166,2.0346689869775,1.97622009924597
"ZNF852",1.8625151882015,1.85873160603904,1.51617983383186,1.61792166928363,1.64922808798329,1.66299048963434
"ZKSCAN7",1.40580604825898,1.52363313975666,1.35284287938396,1.3676779091642,1.38988987886764,1.43944275328331
"ZNF660",1.32290368336018,1.43729611269351,1.26911708645488,1.3844707918645,1.27215074349444,1.37398531632079
"ZNF197",1.36243226665822,1.46506660106515,1.26798618088242,1.41764494746558,1.30179040084797,1.37896564037798
"ZNF35",1.39582796843419,1.50491010391993,1.23974298178827,1.45105857752755,1.28328301378549,1.33852287295013
"ZNF502",1.14468154706604,1.42675128297994,1.04588401705524,1.25390840248109,1.04594129440359,1.23522047627026
"ZNF501",1.16292012215403,1.4177479336046,1.09550167655469,1.29393642968031,1.13188291299008,1.29390371558631
"KIAA1143",1.38727857625572,1.56015766432725,1.2681092029159,1.49883658272233,1.3166079436041,1.46294739668614
"KIF15",1.38796944738844,1.56069252787131,1.2687772206468,1.49932689377668,1.31718683549633,1.4635499859454
"TMEM42",2.01172605221179,1.91344216798064,2.19440455353082,2.45900128220277,2.51295662574686,2.43775925275819
"TGM4",1.98265808794772,1.8762807909789,2.25578179416401,2.46987422593802,2.53376010587626,2.43375825888586
"ZDHHC3",2.5681664598295,2.37181970059586,2.31465352315401,2.29960420613953,2.74037680176395,2.61382474584088
"EXOSC7",2.56408653279926,2.36591585501592,2.31324878632905,2.29902662241143,2.72934391147201,2.60419164278054
"CLEC3B",2.74807508367953,2.53649051718276,2.52111425302347,2.56818934152026,3.01465642671956,2.84845290572926
"CDCP1",3.58928763887271,3.25468345593132,3.38514487793797,3.90914802689584,3.08958053059133,3.00036094620387
"TMEM158",2.27939123987091,2.17536873014183,2.5475610293473,2.74015806799636,2.35306505873269,2.28409367632313
"LARS2",2.05386123062817,2.05424370173558,1.8808531959176,2.15136825063002,1.75455911949307,1.7715341957505
"LIMD1",2.40862146062737,2.28889794185359,2.82382834765206,2.83863351029281,2.34237462124665,2.24039530596841
"SACM1L",2.84023170202288,2.51270820583063,2.54137210269515,3.0331114116686,2.55184684106063,2.53596379187933
"SLC6A20",1.39182521655873,1.45378336747575,1.59527029406322,1.42605752284119,1.58619937068614,1.70794800734679
"LZTFL1",1.96212143082816,1.98775473624724,2.21777953650382,2.07180594163145,2.77561787211475,2.6496049554492
"CCR9",1.77734659231514,1.84863001371851,1.840809838924,1.7749115247798,2.26512428646792,2.2853578582329
"FYCO1",2.3360922520018,2.22311955281521,2.28610597739942,2.36174122050409,3.06861576668676,2.97399338519913
"CXCR6",2.35314840340554,2.27158341166534,2.59821612791569,2.46406993009519,3.2590961564336,3.1006324589994
"XCR1",2.32853076262443,2.24755719696292,1.73599518626229,1.90872796758186,2.00698449147979,1.9256118261537
"CCR3",2.35468724371926,2.1639299869055,1.6261884992069,1.78361679338091,1.7092359904494,1.76914797745757
"CCR1",1.39280910085469,1.50256524617855,1.12806372236472,1.20354151691803,0.81764334092917,1.02051254249531
"CCR2",1.17258867594428,1.32902717790295,1.08210331686771,1.10366392910641,0.80376661511427,0.974573741588096
"CCR5",1.17138363922646,1.33759420851254,1.15007112230462,1.14785569609939,0.818475969175893,0.98729038983483
"CCRL2",1.15640750364045,1.31327869454782,1.25071308237364,1.14939687652426,0.869398746094354,1.02560291188349
"LTF",1.34686952602943,1.47303407833144,1.71646956598184,1.87991216324815,1.23741038918845,1.36274728836134
"RTP3",1.42551457731539,1.52747246985757,1.80938461429494,2.00875555395361,1.29968505709726,1.38607455956356
"LRRC2",1.19311908623304,1.31446261144383,1.34560912074315,1.3721183635539,1.08759041889078,1.2653714191377
"CRIPTO",1.37603236946349,1.47734729607169,1.58580481389012,1.76621081817472,1.24215442331812,1.40497465109618
"ENSG00000283877",1.36296599646395,1.45123479870788,1.56565158397992,1.71538709314896,1.2541677235832,1.41467576876854
"FAM240A",1.15820834435626,1.28836350602751,1.33057329281783,1.32152646629095,1.04382099521345,1.20069522644199
"ALS2CL",1.16639095359362,1.28647106658497,1.87320445018587,1.19074850554327,1.63406992058919,1.6952092034563
"TMIE",1.16587850281423,1.28588667466794,1.87351013592792,1.18920520878915,1.63878447365002,1.69613028581024
"ENSG00000206549",1.09034566219532,1.30293601888386,1.3955973375735,1.28361418093794,1.42708018498594,1.54428860798101
"PRSS50",1.1309251613139,1.28006278665865,1.78683241872423,1.16169477222924,1.66828878318011,1.70225969308255
"MYL3",1.85960188184173,1.97694901866103,2.51749668842305,1.74595765721434,2.68677232034458,2.52875603753018
"PTH1R",1.75339669722632,1.85199271747774,2.40460010221742,1.63293354325946,2.56973054485823,2.43186711872693
"CCDC12",3.3238556361504,3.1010002126513,3.04497599443567,2.61218316173711,3.52250175773434,3.27274490063649
"NBEAL2",3.34900675326846,3.13732215759817,3.09423203437176,2.6351717577431,3.570053109047,3.30376732129578
"SETD2",2.57440361511248,2.45752543122089,2.01380073618246,2.21918452936383,2.02360753842089,1.96280135848
"KIF9",2.19755334562565,2.04760130742923,2.19437413780221,2.02010258644384,2.20795613935469,2.15030517639977
"KLHL18",2.19457317380372,2.04637941463234,2.19378365369736,2.01879135275981,2.20503290392524,2.14495496106955
"PTPN23",2.11051113657672,1.98008814545517,2.49725708224528,1.8801409681544,2.73465227835084,2.53669930533823
"SCAP",2.1185714831541,2.0589020395699,2.08611510014917,1.8908848849627,2.161990507768,2.0644083864744
"ELP6",1.72920292296009,1.80550602960593,1.96477189865527,1.74632121754457,1.86470789232541,1.88158986397898
"CSPG5",1.78590771206859,1.74842200860924,1.80034249425272,1.69274571281082,1.85483071589871,1.80907181407136
"SMARCC1",2.27695287707047,2.26485760472824,2.19748509501287,2.21252452502764,2.23335845351229,2.16034773379783
"DHX30",2.19355590760293,2.1896929969616,2.29220408929881,2.11190128190482,2.35868544105558,2.22745257274918
"MAP4",2.49743989260701,2.37695761258172,2.29105416878509,2.34057720864047,2.30860496104475,2.18051505147421
"CDC25A",1.79969520143976,1.7894815220791,2.21896630841974,1.96273887281129,2.18381321723265,2.09204911084839
"CAMP",1.85989788908386,1.82034983959638,2.05921804557771,1.76588633306238,2.09744515825378,2.02537823176641
"ZNF589",1.79922534943098,1.76126756947254,1.97610854481546,1.64654543969668,1.97328729487736,1.99385480533129
"NME6",1.8404491521506,1.85440970085161,1.67035250563215,1.65114265371645,1.60789736709182,1.70813405028863
"SPINK8",1.64886113533976,1.69986022925349,1.49587407133224,1.51389661144198,1.42520148695983,1.52270153554911
"FBXW12",1.4346245248002,1.49547321823882,1.7420385964935,1.43440406977343,1.59337993211589,1.63301608195656
"PLXNB1",1.89010969777057,1.90456616458579,2.76431204219177,2.17138752593917,2.72907814581462,2.63303459275801
"CCDC51",1.96383862641694,1.96073516430114,2.8372106899569,2.27485674721553,2.88654602603927,2.68092734363787
"TMA7",1.96255099696804,1.95978091851323,2.83581232579489,2.27392528025295,2.88408900777794,2.68001233940455
"ATRIP",2.00423546315554,1.99059999676045,2.85725776839891,2.3040267862196,2.96355941753912,2.70957731940232
"TREX1",2.03267002219442,2.00458515715106,2.86213548806074,2.33795795640039,2.95729341334595,2.8196177319359
"SHISA5",1.91588544926719,2.01704430994206,2.74043907170103,2.27949989100124,2.68261622453053,2.60968937786497
"PFKFB4",1.96082193680544,1.98159473429724,3.16498625315978,2.47329832007487,2.77226073257081,2.59671457310128
"UCN2",1.97257956566754,1.99110275284847,3.16063034542867,2.48592471875954,2.78839949685283,2.59124746089719
"COL7A1",2.06839701506422,2.06676439134825,3.36622795701659,2.64435548511287,2.99692357381743,2.75895688393698
"UQCRC1",1.90141901824157,1.92547259335172,3.24096184827718,2.40611803731305,2.81938100998719,2.59520108152237
"TMEM89",1.8043486510807,1.87058322574337,3.08925442316081,2.30886143312944,2.70683326572124,2.52006039490437
"SLC26A6",1.84682987261693,1.92354264619045,3.04787688418602,2.25703705057684,2.65344304972512,2.4989023352501
"CELSR3",2.09937639537884,2.16451455196242,2.84030420394613,2.2270473050718,2.75824278976847,2.61407623515542
"NCKIPSD",2.30683409173368,2.33015955562783,2.64535907108144,2.16105474634685,2.79343314255835,2.55321809590829
"IP6K2",2.63797953411572,2.55944134829835,2.16007357134649,2.14084848533913,2.86199839679081,2.65880773202082
"PRKAR2A",1.9913012481399,2.02809334044822,2.10827928606838,2.03010986117231,2.09582493124486,1.98779275418048
"SLC25A20",2.06908715160719,2.06161212593917,2.09060657883699,1.95182857618171,2.10092121962793,1.97951138139845
"ARIH2",2.11849561785956,2.06141371903957,2.06842474771597,1.96330429492734,2.06401187906524,1.92640027688064
"P4HTM",2.28095164196203,2.24920508539295,2.6175795112095,2.3548632223732,2.63708200926302,2.54331911090219
