block,dataset,concordance,concordance_null,concordance_null_sd,concordance_z,concordance_p,concordance_detection_limit,above_detection_limit,window,axis,null_model,level,gene_set,run,statistic_z,detection_limit,p_value,panel,class,side,compared_to
mechanism classes,,,,,,,,,,,,,,,0.4780361815946969,4.571610007541448,0.9370531473426328,PanelApp 309,ECM structure,,
mechanism classes,,,,,,,,,,,,,,,3.685897536062377,6.749275858022317,0.0424978751062446,PanelApp 309,glycosylation / linker,,
mechanism classes,,,,,,,,,,,,,,,-0.6754611326697028,5.212852410920212,9.99950002499875e-05,PanelApp 309,lysosome,,
mechanism classes,,,,,,,,,,,,,,,0.0600282151407748,3.9121640726901306,0.7668616569171542,PanelApp 309,signalling FGF/WNT/BMP/IHH,,
mechanism classes,,,,,,,,,,,,,,,-0.5063020936406637,6.59421346229726,9.99950002499875e-05,PanelApp 309,transcription factors,,
mechanism classes,,,,,,,,,,,,,,,-0.324135486121676,9.69681105557743,9.99950002499875e-05,PanelApp 309,vesicle / secretion,,
mechanism classes,,,,,,,,,,,,,,,-0.3267405277451212,2.3727693879725944,0.6104694765261738,PanelApp 309,_GESAMT,,
complementarity,,,,,,,,,,,,,,,-1.34756350510366,1.8206601271948264,0.1255937203139842,,,programme,S_BIOSYN
complementarity,,,,,,,,,,,,,,,-0.4077760370247587,2.3372816142210446,0.552472376381181,,,programme,S_DISTAL
complementarity,,,,,,,,,,,,,,,-3.178099890965804,1.4608394615390214,0.00069996500175,,,disease genes PA309,S_BIOSYN
complementarity,,,,,,,,,,,,,,,6.3048786351117405,1.7865447235819507,9.99950002499875e-05,,,disease genes PA309,S_DISTAL
complementarity,,,,,,,,,,,,,,,-0.9764479656520376,1.723591788923451,0.2678866056697166,,,disease genes NOSO,S_BIOSYN
complementarity,,,,,,,,,,,,,,,3.649936510808236,2.209904515742131,0.0021998900054997,,,disease genes NOSO,S_DISTAL
complementarity,,,,,,,,,,,,,,,-3.0068388752826527,1.3617230257029544,0.0017999100044998,,,disease genes NOSO broad,S_BIOSYN
complementarity,,,,,,,,,,,,,,,5.296745166296391,1.6380699630594762,9.99950002499875e-05,,,disease genes NOSO broad,S_DISTAL
