gse,n_proben,naiver_arm,diff_arm,diagnose,eingriff,urteil,code,begruendung,titel,n_proben_gds,achse
GSE140782,36,True,True,False,False,AUS,A2,keine Diagnose als Laesionsachse,Highly connected enhancer communities control lineage-determining genes in human mesenchymal stem cells,36.0,CCD_CMPD
GSE238013,36,True,False,True,False,AUS,A1,kein differenzierter Arm,Cell-type-specific regulation of APOE and CLU levels in human neurons by the Alzheimer’s disease risk gene SORL1,36.0,CCD_CMPD
GSE63239,36,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Genome-wide microarray analysis of human fibroblasts in response to indomethacin and nimesulide.,36.0,MPS
GSE218101,34,True,True,True,True,BEREITS,-,"MPS VI, Tag 0/14, 4 Patientenlinien gegen isogene Korrektur -- vollstaendiges 2x2, aber BEREITS einer der achtzehn Punkte (ARSB / MPS VI)",Isogenic pairs of MPS VI gene corrected iPSC and Chondrogenic cells,34.0,MPS
GSE159676,33,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Portal fibroblasts with mesenchymal stem cell features form a reservoir of proliferative myofibroblasts in liver fibrosis,33.0,OI
GSE213912,32,False,False,True,False,AUS,A1,kein naiver Arm,Cancer-Associated Fibroblasts are the Main Source of Epithelial-to-Mesenchymal Signaling in the Tumor Microenvironment,32.0,OI
GSE32531,31,False,True,False,False,AUS,A2,keine Diagnose als Laesionsachse,"Patient-derived tumor grafts authentically reflect tumor pathology, growth, metastasis, and disease outcomes (expression)",31.0,MPS
GSE274709,30,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,PIEZO2 mechanoreceptor-expressing fibroblasts in keloids cause short-term recurrence after surgical resection,30.0,OI
GSE324491,30,False,True,True,False,AUS,A1,kein naiver Arm,MicroRNA Network Regulation of Developmental Bone Toxicity in a Human Embryonic Stem Cell Osteogenic Model [RNA-Seq],30.0,CCD_CMPD
GSE62589,30,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Integrative Analysis of Transcriptomic and Epigenomic Data to Reveal Regulation Patterns for Osteoporosis Risk,30.0,MPS
GSE206214,29,True,True,True,False,AUS,A2,"dieselbe Studie, ChIP-Arm; WRN-Knockdown in hESC. Der Tag-0/14-Arm des Begleitdatensatzes ist MC3T3-E1",WRN promotes bone development and growth by unwinding SHOX-G-quadruplexes via its helicase activity in Werner Syndrome,29.0,SHOX
GSE148728,27,False,True,True,False,AUS,A1,kein naiver Arm,Gene expression profiling of chondrodysplasia mutants and isogenic controls during hypertrophic induction from iPSCs,27.0,PSACH_MED|FREITEXT_DYSPLASIE
GSE279954,26,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,mRNA/sRNA Co-Sequencing Reveals Multiple New Targeted Therapy Candidates in Rhabdomyosarcoma,26.0,CCD_CMPD
GSE69111,25,False,True,False,True,AUS,A2,keine Diagnose als Laesionsachse,Distinct regulatory programs for Sox9 in transcriptional regulation of the developing mammalian chondrocyte,25.0,CCD_CMPD
GSE188531,25,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Sex-biased and random monoallelic expression of SHOX: implications for sex difference in height,25.0,SHOX
