symbol,dWT_kons,iv_kons,basis,atac,im_modul,ri
ACTA2,0.5,0.25,-0.613602230504555,-0.4572616429523282,False,
ACTB,-0.125,0.0,0.486501479854354,-0.0074661688010375,False,
ACTBL2,-0.0666666666666666,-0.3333333333333332,-0.0808222879437249,0.3038450224794752,False,
ACTC1,0.25,0.25,-0.1507913447102254,0.9571706114396088,False,
ACTG1,-0.25,-0.125,0.730819253630547,0.6772514492053205,False,
ACTL6A,-0.625,-0.125,0.3070741311960845,0.0372524387506212,False,
ACTN1,0.0,-0.125,0.1053214060215962,0.0170374263817718,False,
ACTN4,-0.6666666666666667,-0.6666666666666667,0.3434610763919975,0.101391568118192,False,
ACTR10,0.0,0.25,0.203921313771402,-0.0918270341203122,False,
ACTR1A,-0.75,0.25,0.643614377867302,-0.1114519040512256,False,
ACTR1B,0.2222222222222223,-0.2222222222222223,-0.1989214220730719,0.078616963480254,False,
ACTR2,-0.375,-0.125,0.3956351527318035,-0.1387105639511885,False,
ACTR3,-0.375,-0.5,0.361300792930955,-0.0022205326972528,False,
ACTR3B,0.0,-0.5,0.0638624241830166,0.0899132549089807,False,
ACTR5,-0.25,-0.125,0.330422652945634,-0.0169485451501008,False,
ACTR6,0.125,-0.25,-0.5102674606970226,0.0492127044347237,False,
ACTR8,-0.5,-0.125,0.004631666223045,0.157088711252491,False,
ACTRT3,0.5555555555555556,0.0,-0.262659715748034,0.6260369484146728,False,
ACVR1,0.375,0.375,-0.5231817481144425,-0.193609243974687,False,
ACVR1B,0.375,-0.25,-0.3306518658220805,0.3304154601584046,False,
ACVR1C,-0.375,0.0,0.241185073062318,0.2762800034556811,False,
ACVR2A,0.375,0.0,-0.4266189902704514,0.0996886585677252,False,
ACVR2B,0.125,0.0,-0.0509394643215792,0.6383413058137568,False,
ACVRL1,0.7333333333333334,-0.1999999999999999,-0.499053165470173,0.407878084153508,False,
