ensembl,dWT_n,dWT_med,dWT_v,dWT_vz,dWT_kons,iv_n,iv_med,iv_v,iv_vz,iv_kons,basis_med,pool_anteil,symbol,im_modul,ri
ENSG00000184661,16,-0.8815201515596465,12,-1,-0.5,16,-0.1894317091939145,10,-1,-0.25,0.37671493007799,0.1875,CDCA2,False,
ENSG00000184675,16,0.09911557155963635,9,1,0.125,16,0.08876053286960205,8,1,0.0,0.0166314604362491,0.3125,AMER1,False,
ENSG00000184677,16,0.44845585021670603,11,1,0.375,16,-0.4520577323798345,10,-1,-0.25,-0.4282057876142085,0.5,ZBTB40,False,
ENSG00000184708,16,-0.375206251353003,10,-1,-0.25,16,0.021099212748644552,8,1,0.0,-0.0029823503132535003,0.3125,EIF4ENIF1,False,
ENSG00000184719,16,0.1570543953855762,9,1,0.125,16,0.461169367824049,11,1,0.375,-0.21610389814493583,0.375,RNLS,False,
ENSG00000184743,16,1.10503087524258,13,1,0.625,16,-0.040398382629793596,8,1,0.0,-0.9677694434924515,0.75,ATL3,False,
ENSG00000184752,16,0.15419912065271102,8,1,0.0,16,0.1106885618546714,9,1,0.125,0.12790682584329066,0.3125,NDUFA12,False,
ENSG00000184785,18,0.36439031510710396,12,1,0.33333333333333326,18,0.37484098947975,13,1,0.4444444444444444,-0.0162094975358326,0.4444444444444444,SMIM10,False,
ENSG00000184787,16,0.33986715888775254,12,1,0.5,16,-0.235912493134039,9,-1,-0.125,-0.3997067854759735,0.375,UBE2G2,False,
ENSG00000184792,16,-0.478009878435944,11,-1,-0.375,16,-0.07594340629295596,8,1,0.0,0.260815977060819,0.1875,OSBP2,False,
ENSG00000184831,16,-0.6536311890414626,12,-1,-0.5,16,-0.0758599571489848,8,1,0.0,0.42003675087961656,0.25,APOO,False,
ENSG00000184838,16,0.42266205476380747,14,1,0.75,16,-0.048456919476460344,8,1,0.0,-0.6720582566872975,0.4375,PRR16,False,
ENSG00000184840,16,-1.1500988775687,13,-1,-0.625,16,0.483544571901936,9,1,0.125,0.616140687015885,0.0625,TMED9,False,
ENSG00000184857,18,-0.1626786257958445,10,-1,-0.11111111111111116,18,0.7099511834052654,11,1,0.22222222222222232,0.033084300582101045,0.3333333333333333,TMEM186,False,
ENSG00000184860,15,0.0,7,1,-0.06666666666666665,15,-0.184518359129335,9,-1,-0.19999999999999996,-0.171628559049412,0.2,SDR42E1,False,
ENSG00000184863,16,-0.1017665173769732,9,-1,-0.125,16,-0.315973407493869,10,-1,-0.25,-0.4401133659572295,0.3125,RBM33,False,
ENSG00000184867,16,-0.789980492994897,10,-1,-0.25,16,0.1866744772170705,11,1,0.375,0.44400655789334753,0.375,ARMCX2,False,
ENSG00000184887,16,0.407254377530364,10,1,0.25,16,0.145167292966951,9,1,0.125,-0.2145974654494425,0.5,BTBD6,False,
ENSG00000184898,18,0.96905496318621,14,1,0.5555555555555556,18,-0.09804608005649046,11,-1,-0.22222222222222232,-0.4938279488731285,0.6111111111111112,RBM43,False,
ENSG00000184900,16,-0.10353855683525184,9,-1,-0.125,16,-0.013685281851101017,8,1,0.0,0.13762242352275,0.4375,SUMO3,False,
ENSG00000184903,16,0.08269061798521346,10,1,0.25,16,0.246166750528966,9,1,0.125,0.021475042273021508,0.4375,IMMP2L,False,
ENSG00000184916,16,0.024295144321286148,9,1,0.125,16,0.5053866664881255,11,1,0.375,-0.017574121877169606,0.25,JAG2,False,
ENSG00000184922,15,0.225958989094814,9,1,0.19999999999999996,15,-0.0635656006482004,9,-1,-0.19999999999999996,-0.295235583116307,0.4,FMNL1,False,
ENSG00000184923,15,-0.104795630375311,10,-1,-0.33333333333333326,15,0.297217637603169,9,1,0.19999999999999996,-0.474339459290456,0.3333333333333333,NUTM2A,False,
ENSG00000184924,18,0.0101587153343355,9,1,0.0,18,0.45210918826808455,15,1,0.6666666666666667,0.229527496180143,0.3888888888888889,PTRHD1,False,
